index,Year,Driver,Car Number,Car Manufacturer,Wins
0,1949,Red Byron,22,Oldsmobile,2
1,1950,Bill Rexford,60,Ford,0
2,1950,Bill Rexford,8,Mercury,0
3,1950,Bill Rexford,20,Oldsmobile,0
4,1950,Bill Rexford,59,Oldsmobile,0
5,1950,Bill Rexford,62,Oldsmobile,0
6,1950,Bill Rexford,80,Oldsmobile,0
7,1950,Bill Rexford,60,Oldsmobile,1
8,1951,Herb Thomas,6,Hudson,1
9,1951,Herb Thomas,92,Hudson,4
10,1951,Herb Thomas,99,Oldsmobile,0
11,1951,Herb Thomas,2,Oldsmobile,1
12,1951,Herb Thomas,92,Plymouth,1
13,1952,Tim Flock,91,Hudson,8
14,1953,Herb Thomas,92,Hudson,12
15,1954,Lee Petty,42,Chrysler,7
16,1954,Lee Petty,100,Oldsmobile,0
17,1955,Tim Flock,2,Chevrolet,0
18,1955,Tim Flock,16,Chrysler,0
19,1955,Tim Flock,301,Chrysler,3
20,1955,Tim Flock,300,Chrysler,15
21,1956,Buck Baker,0,Chrysler,0
22,1956,Buck Baker,301,Chrysler,1
23,1956,Buck Baker,87,Chrysler,2
24,1956,Buck Baker,300,Chrysler,6
25,1956,Buck Baker,87,Dodge,1
26,1956,Buck Baker,502,Dodge,1
27,1956,Buck Baker,500,Dodge,3
28,1956,Buck Baker,31,Ford,0
29,1956,Buck Baker,87,Ford,0
30,1957,Buck Baker,87,Chevrolet,10
31,1958,Lee Petty,42,Oldsmobile,7
32,1959,Lee Petty,43,Oldsmobile,1
33,1959,Lee Petty,42,Oldsmobile,3
34,1959,Lee Petty,42,Plymouth,7
35,1960,Rex White,74,Chevrolet,0
36,1960,Rex White,4,Chevrolet,6
37,1960,Rex White,15,Ford,0
38,1960,Rex White,41,Ford,0
39,1961,Ned Jarrett,11,Chevrolet,1
40,1961,Ned Jarrett,11,Ford,0
41,1962,Joe Weatherly,8,Pontiac,9
42,1963,Joe Weatherly,88,Chrysler,0
43,1963,Joe Weatherly,36,Dodge,0
44,1963,Joe Weatherly,361,Dodge,0
45,1963,Joe Weatherly,8,Mercury,0
46,1963,Joe Weatherly,41,Plymouth,0
47,1963,Joe Weatherly,2,Pontiac,0
48,1963,Joe Weatherly,5,Pontiac,0
49,1963,Joe Weatherly,17,Pontiac,0
50,1963,Joe Weatherly,57,Pontiac,0
51,1963,Joe Weatherly,83,Pontiac,0
52,1963,Joe Weatherly,8,Pontiac,3
53,1964,Richard Petty,42,Plymouth,0
54,1964,Richard Petty,41,Plymouth,1
55,1964,Richard Petty,43,Plymouth,8
56,1965,Ned Jarrett,25,Ford,0
57,1965,Ned Jarrett,11,Ford,13
58,1966,David Pearson,6,Dodge,15
59,1967,Richard Petty,43,Plymouth,27
60,1968,David Pearson,84,Ford,0
61,1968,David Pearson,17,Ford,16
62,1969,David Pearson,17,Ford,11
63,1970,Bobby Isaac,71,Dodge,11
64,1971,Richard Petty,43,Plymouth,21
65,1972,Richard Petty,43,Dodge,1
66,1972,Richard Petty,43,Plymouth,7
67,1973,Benny Parsons,72,Chevrolet,1
68,1973,Benny Parsons,72,Mercury,0
69,1974,Richard Petty,43,Dodge,10
70,1975,Richard Petty,43,Dodge,13
71,1976,Cale Yarborough,11,Chevrolet,9
72,1977,Cale Yarborough,11,Chevrolet,9
73,1978,Cale Yarborough,11,Oldsmobile,10
74,1979,Richard Petty,43,Chevrolet,4
75,1979,Richard Petty,43,Oldsmobile,1
76,1980,Dale Earnhardt,2,Chevrolet,5
77,1980,Dale Earnhardt,2,Oldsmobile,0
78,1981,Darrell Waltrip,11,Buick,12
79,1981,Darrell Waltrip,11,Chevrolet,0
80,1982,Darrell Waltrip,11,Buick,12
81,1983,Bobby Allison,22,Buick,5
82,1983,Bobby Allison,22,Chevrolet,1
83,1984,Terry Labonte,44,Chevrolet,2
84,1985,Darrell Waltrip,11,Chevrolet,3
85,1986,Dale Earnhardt,3,Chevrolet,5
86,1987,Dale Earnhardt,3,Chevrolet,11
87,1988,Bill Elliott,9,Ford,6
88,1989,Rusty Wallace,27,Pontiac,6
89,1990,Dale Earnhardt,3,Chevrolet,9
90,1991,Dale Earnhardt,3,Chevrolet,4
91,1992,Alan Kulwicki,7,Ford,2
92,1993,Dale Earnhardt,3,Chevrolet,6
93,1994,Dale Earnhardt,3,Chevrolet,4
94,1995,Jeff Gordon,24,Chevrolet,7
95,1996,Terry Labonte,5,Chevrolet,2
96,1997,Jeff Gordon,24,Chevrolet,10
97,1998,Jeff Gordon,24,Chevrolet,13
98,1999,Dale Jarrett,88,Ford,4
99,2000,Bobby Labonte,18,Pontiac,4
100,2001,Jeff Gordon,24,Chevrolet,6
101,2002,Tony Stewart,20,Pontiac,3
102,2003,Matt Kenseth,17,Ford,1
103,2004,Kurt Busch,97,Ford,3
104,2005,Tony Stewart,20,Chevrolet,5
105,2006,Jimmie Johnson,48,Chevrolet,5
106,2007,Jimmie Johnson,48,Chevrolet,10
107,2008,Jimmie Johnson,48,Chevrolet,7
108,2009,Jimmie Johnson,48,Chevrolet,7
109,2010,Jimmie Johnson,48,Chevrolet,6
110,2011,Tony Stewart,14,Chevrolet,5
111,2012,Brad Keselowski,2,Dodge,5
112,2013,Jimmie Johnson,48,Chevrolet,6
113,2014,Kevin Harvick,4,Chevrolet,5
114,2015,Kyle Busch,18,Toyota,5
115,2016,Jimmie Johnson,48,Chevrolet,5
